schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tesorio,Tesorio,53,2026-09-10T13:58:54.680911+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/agilemd,AgileMD,19,2026-09-10T13:58:54.684644+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/reach,Reach,45,2026-09-10T13:58:54.689634+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/sunfarmer,SunFarmer,15,2026-09-10T13:58:54.693681+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/confident-lims,Confident LIMS,17,2026-09-10T13:58:54.698498+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/branch8,Branch8,15,2026-09-10T13:58:54.702019+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/heroic-labs,Heroic,21,2026-09-10T13:58:54.708244+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/snapmagic,SnapMagic,23,2026-09-10T13:58:54.712405+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/assembly,Assembly,12,2026-09-10T13:58:54.715973+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/gemnote,Gemnote,40,2026-09-10T13:58:54.721140+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/new-story,New Story,20,2026-09-10T13:58:54.725464+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/ironclad,Ironclad,700,2026-09-10T13:58:54.729246+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/leaders-in-tech,Leaders In Tech,1,2026-09-10T13:58:54.734214+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/teabot,teaBOT,2,2026-09-10T13:58:54.743693+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/teleport,Teleport,255,2026-09-10T13:58:54.747435+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/lugg,Lugg,50,2026-09-10T13:58:54.750393+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/shasqi,Shasqi,28,2026-09-10T13:58:54.757748+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mashgin,Mashgin,150,2026-09-10T13:58:54.762103+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/nimblerx,NimbleRx,130,2026-09-10T13:58:54.766685+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/quartzy,Quartzy,100,2026-09-10T13:58:54.772724+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/replika,Replika,28,2026-09-10T13:58:54.777319+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tara-ai,Tara AI,13,2026-09-10T13:58:54.781605+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/flip,Flip,,2026-09-10T13:58:54.787426+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/x-zell,X-Zell,19,2026-09-10T13:58:54.792847+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zenflow,Zenflow,18,2026-09-10T13:58:54.796674+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tab,Tab,9,2026-09-10T13:58:54.799614+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/streak,Streak,35,2026-09-10T13:58:54.805041+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/meadow,Meadow,14,2026-09-10T13:58:54.808574+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/level-frames,Level Frames,5,2026-09-10T13:58:54.813212+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/industrial-microbes,Industrial Microbes,12,2026-09-10T13:58:54.818474+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/giveffect,Giveffect,,2026-09-10T13:58:54.824131+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/ebrandvalue,eBrandvalue,10,2026-09-10T13:58:54.828736+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/quantierra,Quantierra,5,2026-09-10T13:58:54.833122+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/cleanly,Cleanly,40,2026-09-10T13:58:54.838333+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/resolve,Resolve,10,2026-09-10T13:58:54.841925+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/makrwatch,Makrwatch,19,2026-09-10T13:58:54.846170+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/teamnote,TeamNote,11,2026-09-10T13:58:54.850159+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tempo,Tempo,158,2026-09-10T13:58:54.855248+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/sirum,SIRUM,15,2026-09-10T13:58:54.858529+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/sails-co,Sails,4,2026-09-10T13:58:54.862513+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/readme,ReadMe,52,2026-09-10T13:58:54.866236+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/buildscience,BuildScience,1,2026-09-10T13:58:54.872590+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/platzi,Platzi,123,2026-09-10T13:58:54.876482+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/labdoor,Labdoor,11,2026-09-10T13:58:54.879932+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/givemetap,GiveMeTap,1,2026-09-10T13:58:54.883925+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/bankjoy,Bankjoy,60,2026-09-10T13:58:54.889008+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zeitview,Zeitview,200,2026-09-10T13:58:54.893084+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/the-human-utility,The Human Utility,2,2026-09-10T13:58:54.898623+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/democracy-earth,Democracy Earth,2,2026-09-10T13:58:54.906016+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/onesignal,OneSignal,150,2026-09-10T13:58:54.910241+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/numerion-labs,Numerion,67,2026-09-10T13:58:54.915009+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/bright,Bright,100,2026-09-10T13:58:54.918451+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/magic,Magic,350,2026-09-10T13:58:54.924109+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mezmo,Mezmo,172,2026-09-10T13:58:54.927202+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/akido-labs,Akido,1000,2026-09-10T13:58:54.931333+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/qventus,Qventus,230,2026-09-10T13:58:54.934863+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/bayes-impact,Bayes Impact,11,2026-09-10T13:58:54.941809+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/helion-energy,Helion Energy,150,2026-09-10T13:58:54.946645+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hackerrank,HackerRank,300,2026-09-10T13:58:54.950752+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/front,Front,385,2026-09-10T13:58:54.956656+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/apollo,Apollo,200,2026-09-10T13:58:56.433322+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/roomstorm,Roomstorm,4,2026-09-10T13:58:56.439613+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hive,Hive,65,2026-09-10T13:58:56.442801+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/spotangels,SpotAngels,11,2026-09-10T13:58:56.447243+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/usergems,UserGems,100,2026-09-10T13:58:56.452556+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/sfox,SFOX,60,2026-09-10T13:58:56.455911+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/picnicai,PicnicAI,100,2026-09-10T13:58:56.459861+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/permutive,Permutive,205,2026-09-10T13:58:56.463931+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/alchemy,Alchemy,25,2026-09-10T13:58:56.469592+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mtailor,MTailor,11,2026-09-10T13:58:56.473341+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/metricwire,MetricWire,3,2026-09-10T13:58:56.477735+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/protocol-labs,Protocol,130,2026-09-10T13:58:56.482430+00:00
